F(62-67) I(62) ;102;282;-;-;-;2 
F(62-60) I(62) ;99;282;-;-;-;2 
F(62-60) F(62-67) ;99;102;-;-;-;2 
F(56-57) I(56) ;94;280;-;-;-;2 
F(49-50) I(49) ;80;277;-;-;-;2 
F(42-41) I(42) ;64;272;-;-;-;2 
F(37-39) I(37) ;61;271;-;-;-;2 
F(32-113) I(32) ;49;267;-;-;-;2 
F(30-26) I(30) ;44;266;-;-;-;2 
F(19-18) I(19) ;23;259;-;-;-;2 
F(15-13) I(15) ;17;258;-;-;-;2 
F(12-16) I(12) ;15;257;-;-;-;2 
F(12-7) I(12) ;12;257;-;-;-;2 
F(12-7) F(12-16) ;12;15;-;-;-;2 
F(9-10) I(9) ;9;256;-;-;-;2 
F(9-8) I(9) ;8;256;-;-;-;2 
F(9-8) F(9-10) ;8;9;-;-;-;2 
F(5-6) I(5) ;5;255;-;-;-;2 
F(5-4) I(5) ;4;255;-;-;-;2 
F(5-4) F(5-6) ;4;5;-;-;-;2 
F(62-61) F(62-66) I(62) ;100;101;282;-;-;3 
F(62-61) F(62-66) F(62-67) ;100;101;102;-;-;3 
F(62-60) F(62-61) F(62-66) ;99;100;101;-;-;3 
F(52-51) F(52-53) I(52) ;85;86;278;-;-;3 
F(43-34) F(43-44) I(43) ;66;67;273;-;-;3 
F(21-20) F(21-22) I(21) ;26;27;260;-;-;3 
F(110-112) F(112-110) I(110) I(112) ;243;245;326;328;-;4 
F(110-111) F(111-110) I(110) I(111) ;242;244;326;327;-;4 
F(86-87) F(87-86) I(86) I(87) ;169;170;302;303;-;4 
F(85-86) F(86-85) I(85) I(86) ;165;168;301;302;-;4 
F(71-73) F(73-71) I(71) I(73) ;123;126;288;290;-;4 
F(68-116) F(116-68) I(68) I(116) ;115;250;286;331;-;4 
F(62-66) F(64-61) I(62) I(64) ;101;105;282;284;-;4 
F(62-66) F(62-67) F(64-61) I(64) ;101;102;105;284;-;4 
F(62-61) F(64-61) I(62) I(64) ;100;105;282;284;-;4 
F(62-61) F(62-67) F(64-61) I(64) ;100;102;105;284;-;4 
F(62-61) F(62-66) F(64-61) I(64) ;100;101;105;284;-;4 
F(62-60) F(62-66) F(64-61) I(64) ;99;101;105;284;-;4 
F(62-60) F(62-61) F(64-61) I(64) ;99;100;105;284;-;4 
F(54-55) F(56-55) I(54) I(56) ;89;93;279;280;-;4 
F(54-55) F(56-55) F(56-57) I(54) ;89;93;94;279;-;4 
F(52-53) F(54-53) I(52) I(54) ;86;88;278;279;-;4 
F(52-51) F(54-53) I(52) I(54) ;85;88;278;279;-;4 
F(52-51) F(52-53) F(54-53) I(54) ;85;86;88;279;-;4 
F(46-47) F(49-47) I(46) I(49) ;72;78;275;277;-;4 
F(46-47) F(49-47) F(49-50) I(46) ;72;78;80;275;-;4 
F(43-44) F(45-44) I(43) I(45) ;67;68;273;274;-;4 
F(43-34) F(45-44) I(43) I(45) ;66;68;273;274;-;4 
F(43-34) F(43-44) F(45-44) I(45) ;66;67;68;274;-;4 
F(37-40) F(42-40) I(37) I(42) ;62;63;271;272;-;4 
F(37-40) F(42-40) F(42-41) I(37) ;62;63;64;271;-;4 
F(37-39) F(37-40) F(42-40) I(42) ;61;62;63;272;-;4 
F(37-39) F(37-40) F(42-40) F(42-41) ;61;62;63;64;-;4 
F(30-8) F(30-17) F(30-38) I(30) ;42;43;45;266;-;4 
F(30-8) F(30-17) F(30-26) F(30-38) ;42;43;44;45;-;4 
F(29-31) F(32-31) I(29) I(32) ;41;48;265;267;-;4 
F(29-31) F(32-31) F(32-113) I(29) ;41;48;49;265;-;4 
F(23-25) F(27-25) I(23) I(27) ;30;34;261;263;-;4 
F(23-22) F(23-24) I(23) I(24) ;28;29;261;262;-;4 
F(21-22) F(23-22) I(21) I(23) ;27;28;260;261;-;4 
F(21-20) F(23-22) I(21) I(23) ;26;28;260;261;-;4 
F(21-20) F(21-22) F(23-22) I(23) ;26;27;28;261;-;4 
F(19-20) F(23-22) I(19) I(23) ;24;28;259;261;-;4 
F(19-20) F(21-22) I(19) I(21) ;24;27;259;260;-;4 
F(19-20) F(21-20) I(19) I(21) ;24;26;259;260;-;4 
F(19-20) F(21-20) F(21-22) I(19) ;24;26;27;259;-;4 
F(19-18) F(19-20) F(23-22) I(23) ;23;24;28;261;-;4 
F(19-18) F(19-20) F(21-22) I(21) ;23;24;27;260;-;4 
F(19-18) F(19-20) F(21-20) I(21) ;23;24;26;260;-;4 
F(19-18) F(19-20) F(21-20) F(21-22) ;23;24;26;27;-;4 
F(15-17) F(30-17) I(15) I(30) ;19;43;258;266;-;4 
F(15-17) F(30-17) F(30-26) I(15) ;19;43;44;258;-;4 
F(15-13) F(15-17) F(30-17) I(30) ;17;19;43;266;-;4 
F(15-13) F(15-17) F(30-17) F(30-26) ;17;19;43;44;-;4 
F(12-117) F(117-12) I(12) I(117) ;16;251;257;332;-;4 
F(12-16) F(12-117) F(117-12) I(117) ;15;16;251;332;-;4 
F(12-14) F(15-14) I(12) I(15) ;14;18;257;258;-;4 
F(12-14) F(15-13) F(15-14) I(12) ;14;17;18;257;-;4 
F(12-14) F(12-16) F(15-14) I(15) ;14;15;18;258;-;4 
F(12-14) F(12-16) F(15-13) F(15-14) ;14;15;17;18;-;4 
F(12-7) F(12-117) F(117-12) I(117) ;12;16;251;332;-;4 
F(12-7) F(12-14) F(15-14) I(15) ;12;14;18;258;-;4 
F(12-7) F(12-14) F(15-13) F(15-14) ;12;14;17;18;-;4 
F(5-11) F(12-11) I(5) I(12) ;7;13;255;257;-;4 
F(5-11) F(12-11) F(12-16) I(5) ;7;13;15;255;-;4 
F(5-11) F(12-7) F(12-11) I(5) ;7;12;13;255;-;4 
F(5-8) F(30-8) I(5) I(30) ;6;42;255;266;-;4 
F(5-8) F(30-8) F(30-26) I(5) ;6;42;44;255;-;4 
F(5-6) F(5-11) F(12-11) I(12) ;5;7;13;257;-;4 
F(5-6) F(5-11) F(12-11) F(12-16) ;5;7;13;15;-;4 
F(5-6) F(5-11) F(12-7) F(12-11) ;5;7;12;13;-;4 
F(5-6) F(5-8) F(30-8) I(30) ;5;6;42;266;-;4 
F(5-6) F(5-8) F(30-8) F(30-26) ;5;6;42;44;-;4 
